title,url,publication_date,issuing_department,full_text,ai_score
工业和信息化部关于工业产品质量控制和技术评价实验室评估复核结果的通告,https://www.miit.gov.cn/jgsj/kjs/wjfb/art/2026/art_08bb30c4839a4f62a72bf4ab54b6f553.html,2026-01-06,科技司,"工业和信息化部关于工业产品质量控制和技术评价实验室评估复核结果的通告
首页
>
工业和信息化部
>
机关司局
>
科技司
>
文件发布
发文机关：
科技司
标　　题：
工业和信息化部关于工业产品质量控制和技术评价实验室评估复核结果的通告
发文字号：
​工信部科函〔2026〕2号
成文日期：
2026-01-06
发布日期：
2026-01-13
发布机构：
工业和信息化部
分　　类：
科技管理,质量管理工作
工业和信息化部关于工业产品质量控制和技术评价实验室评估复核结果的通告
发布时间：2026-01-13 17:54
来源：科技司
工信部科函〔2026〕2号
为进一步加强工业产品质量控制和技术评价实验室（以下简称实验室）高水平建设、规范化管理、高质量发展，我们组织15家实验室再次开展了评估复核，经实验室自查、依托单位审核、推荐单位审查、专家评审、征求意见、社会公示等环节，10家实验室符合评估复核通过条件（名单见附件1），5家实验室不再保留（名单见附件2）。
通过评估复核的实验室依托单位要进一步发挥实验室引领作用，加大资源投入和条件保障力度，促进实验室服务模式创新、功能完善和效能提升。请有关推荐单位进一步加大对实验室的指导和支持力度，引导实验室为区域和行业发展提供更多高质量技术和服务供给，为加快推进新型工业化提供质量支撑。
特此通告。
附件：1.
工业产品质量控制和技术评价实验室通过评估复核名单
2.
不再保留的工业产品质量控制和技术评价实验室名单
工业和信息化部
2026年1月6日
【返回顶部】
【关闭窗口】
【打印本页】",0
工业和信息化部办公厅 国家药品监督管理局综合和规划财务司关于公布2025年人工智能医疗器械创新任务揭榜挂帅入围单位的通知,https://www.miit.gov.cn/jgsj/kjs/wjfb/art/2026/art_b2ba05cc707d4b1194adf9dd080faa91.html,2026-01-05,工业和信息化部办公厅,"工业和信息化部办公厅 国家药品监督管理局综合和规划财务司关于公布2025年人工智能医疗器械创新任务揭榜挂帅入围单位的通知
首页
>
工业和信息化部
>
机关司局
>
科技司
>
文件发布
发文机关：
工业和信息化部办公厅  国家药品监督管理局综合和规划财务司
标　　题：
工业和信息化部办公厅 国家药品监督管理局综合和规划财务司关于公布2025年人工智能医疗器械创新任务揭榜挂帅入围单位的通知
发文字号：
工信厅联科函〔2026〕3号
成文日期：
2026-01-05
发布日期：
2026-01-09
发布机构：
工业和信息化部
分　　类：
高新技术发展及产业化
工业和信息化部办公厅 国家药品监督管理局综合和规划财务司关于公布2025年人工智能医疗器械创新任务揭榜挂帅入围单位的通知
发布时间：2026-01-09 14:58
来源：科技司
工信厅联科函〔2026〕3号
各省、自治区、直辖市、计划单列市及新疆生产建设兵团工业和信息化主管部门、药品监督管理部门：
按照《工业和信息化部办公厅 国家药品监督管理局综合和规划财务司关于开展2025年人工智能医疗器械创新任务揭榜挂帅工作的通知》（工信厅联科函〔2025〕30号），经各地推荐、综合评审和网上公示，确定了2025年人工智能医疗器械创新任务揭榜挂帅入围名单，现予以公布。有关事项通知如下：
一、请入围单位按照申报材料提出的攻关内容抓紧推进，确保揭榜任务按期保质完成。
二、请各地工业和信息化主管部门会同药品监督管理部门加强对入围单位和项目的跟踪和服务，针对揭榜任务攻关过程中涉及的创新研发、测试验证、示范推广等关键环节，加大政策支持力度，对符合注册条件的产品加强指导。
三、入围单位完成攻关任务后（原则上名单公布之日起2年内），工业和信息化部、国家药品监督管理局将委托相关机构开展测评，择优遴选揭榜优胜单位和项目。
附件：2025年人工智能医疗器械创新任务揭榜挂帅入围单位名单
工业和信息化部办公厅
国家药品监督管理局综合和规划财务司
2026年1月5日
（联系电话：010-68205250）
【返回顶部】
【关闭窗口】
【打印本页】",14
中华人民共和国工业和信息化部公告（2025年第45号）,https://www.miit.gov.cn/jgsj/kjs/wjfb/art/2026/art_7df5b2a03bd64b65b17f8efe4f268273.html,2025-12-26,工业和信息化部,"中华人民共和国工业和信息化部公告（2025年第45号）
首页
>
工业和信息化部
>
机关司局
>
科技司
>
文件发布
发文机关：
工业和信息化部
标　　题：
中华人民共和国工业和信息化部公告（2025年第45号）
发文字号：
2025年第45号
成文日期：
2025-12-26
发布日期：
2026-01-07
发布机构：
科技司
分　　类：
科技管理,标准
中华人民共和国工业和信息化部公告（2025年第45号）
发布时间：2026-01-07 18:53
来源：科技司
工业和信息化部决定成立服务型制造标准化工作组，具体如下：
工业和信息化部服务型制造标准化工作组，编号为 MIIT/SWG2，主要负责服务型制造基础通用、核心要素、业务类型和融合业态应用等领域行业标准制修订工作。
第一届工业和信息化部服务型制造标准化工作组由41名委员组成，秘书处由工业和信息化部电子第五研究所承担。
特此公告。
附件：
第一届工业和信息化部服务型制造标准化工作组委员名单
工业和信息化部
2025年12月26日
【返回顶部】
【关闭窗口】
【打印本页】",0
工业和信息化部等八部门关于印发《“人工智能+制造”专项行动实施意见》的通知,https://www.miit.gov.cn/jgsj/kjs/wjfb/art/2026/art_5ea5b1663f264fcea69df0ab00d1f6f3.html,2025-12-25,工业和信息化部,"工业和信息化部等八部门关于印发《“人工智能+制造”专项行动实施意见》的通知
首页
>
工业和信息化部
>
机关司局
>
科技司
>
文件发布
发文机关：
工业和信息化部 中央网信办 国家发展改革委 教育部 商务部 国务院国资委 市场监管总局 国家数据局
标　　题：
工业和信息化部等八部门关于印发《“人工智能+制造”专项行动实施意见》的通知
发文字号：
工信部联科〔2025〕279号
成文日期：
2025-12-25
发布日期：
2026-01-07
发布机构：
工业和信息化部
分　　类：
高新技术发展及产业化
工业和信息化部等八部门关于印发《“人工智能+制造”专项行动实施意见》的通知
发布时间：2026-01-07 16:43
来源：科技司
工信部联科〔2025〕279号
各省、自治区、直辖市及计划单列市、新疆生产建设兵团工业和信息化主管部门、党委网信办、发展改革主管部门、教育厅（教委）、商务主管部门、国资主管部门、市场监管局（厅、委）、数据管理部门 ，各有关单位：
现将《“人工智能+制造”专项行动实施意见》印发给你们，请结合实际认真抓好落实。
工业和信息化部
中央网信办
国家发展改革委
教育部
商务部
国务院国资委
市场监管总局
国家数据局
2025年12月25日
【返回顶部】
【关闭窗口】
【打印本页】",16
中华人民共和国工业和信息化部公告（2025年第44号）,https://www.miit.gov.cn/jgsj/kjs/wjfb/art/2025/art_91588a03c1694803b04f6e7674ac973a.html,2025-12-25,工业和信息化部,"中华人民共和国工业和信息化部公告（2025年第44号）
首页
>
工业和信息化部
>
机关司局
>
科技司
>
文件发布
发文机关：
工业和信息化部
标　　题：
中华人民共和国工业和信息化部公告
发文字号：
2025年第44号
成文日期：
2025-12-25
发布日期：
2025-12-31
发布机构：
科技司
分　　类：
科技管理,标准
中华人民共和国工业和信息化部公告（2025年第44号）
发布时间：2025-12-31 11:45
来源：科技司
工业和信息化部决定成立部人形机器人与具身智能标准化技术委员会，编号为MIIT/TC8，主要负责人形机器人与具身智能基础共性、关键技术、部组件、整机与系统、应用、安全等领域行业标准制修订工作。
第一届工业和信息化部人形机器人与具身智能标准化技术委员会由76名委员组成，秘书处由中国电子学会承担。
特此公告。
附件：
第一届工业和信息化部人形机器人与具身智能标准化技术委员会委员名单
工业和信息化部
2025年12月25日
【返回顶部】
【关闭窗口】
【打印本页】",5
工业和信息化部办公厅关于印发2025年第五批行业标准制修订和外文版项目计划的通知,https://www.miit.gov.cn/jgsj/kjs/wjfb/art/2025/art_e121d32c23614226aed9af5808da13e6.html,2025-12-12,工业和信息化部办公厅,"工业和信息化部办公厅关于印发2025年第五批行业标准制修订和外文版项目计划的通知
首页
>
工业和信息化部
>
机关司局
>
科技司
>
文件发布
发文机关：
工业和信息化部办公厅
标　　题：
工业和信息化部办公厅关于印发2025年第五批行业标准制修订和外文版项目计划的通知
发文字号：
工信厅科函〔2025〕528号
成文日期：
2025-12-12
发布日期：
2025-12-29
发布机构：
工业和信息化部
分　　类：
科技管理,标准
工业和信息化部办公厅关于印发2025年第五批行业标准制修订和外文版项目计划的通知
发布时间：2025-12-29 20:20
来源：科技司
各有关单位：
按照《2025年工业和信息化标准工作要点》部署，我部编制完成2025年第五批行业标准制修订和外文版项目计划，现印发给你们。
请标准起草单位做好标准制定与技术创新、试验验证、知识产权处置、产业化推进、应用推广的统筹协调。请有关行业协会（联合会）、标准化技术组织、标准化专业机构等单位做好标准组织起草、征求意见和技术审查等工作，把好技术审查关。请部机关相关司局做好行业标准制修订过程管理工作，确保标准的质量和水平。计划执行过程中，如需对标准项目进行调整，请按有关规定办理。
特此通知。
工业和信息化部办公厅
2025年12月12日
（联系电话：010‒68205241）
【返回顶部】
【关闭窗口】
【打印本页】",0
工业和信息化部办公厅关于印发制造业中试标准体系建设指南（2025版）的通知,https://www.miit.gov.cn/jgsj/kjs/wjfb/art/2025/art_96857e73b44947c3a7cd2925ea8a5955.html,2025-12-22,工业和信息化部办公厅,"工业和信息化部办公厅关于印发制造业中试标准体系建设指南（2025版）的通知
首页
>
工业和信息化部
>
机关司局
>
科技司
>
文件发布
发文机关：
工业和信息化部办公厅
标　　题：
工业和信息化部办公厅关于印发制造业中试标准体系建设指南（2025版）的通知
发文字号：
工信厅科〔2025〕71号
成文日期：
2025-12-22
发布日期：
2025-12-29
发布机构：
科技司
分　　类：
科技管理,标准
工业和信息化部办公厅关于印发制造业中试标准体系建设指南（2025版）的通知
发布时间：2025-12-29 19:30
来源：科技司
工信厅科〔2025〕71号
各省、自治区、直辖市及计划单列市、新疆生产建设兵团工业和信息化主管部门，有关行业协会、标准化技术组织和专业机构：
现将《制造业中试标准体系建设指南（2025版）》印发给你们，请结合实际抓好实施。
工业和信息化部办公厅
2025年12月22日
【返回顶部】
【关闭窗口】
【打印本页】",0
中华人民共和国工业和信息化部公告（2025年 第41号）,https://www.miit.gov.cn/jgsj/kjs/wjfb/art/2025/art_a061d8bdab7d4fceb6132f7cf05385ad.html,2025-12-17,工业和信息化部,"中华人民共和国工业和信息化部公告 （2025年 第41号）
首页
>
工业和信息化部
>
机关司局
>
科技司
>
文件发布
发文机关：
工业和信息化部
标　　题：
中华人民共和国工业和信息化部公告（2025年  第41号）
发文字号：
2025年 第41号
成文日期：
2025-12-17
发布日期：
2025-12-29
发布机构：
科技司
分　　类：
科技管理,标准
中华人民共和国工业和信息化部公告
（2025年 第41号）
发布时间：2025-12-29 19:23
来源：科技司
工业和信息化部批准《电动汽车运行碳减排量评估方法》《个人信息保护术语》等748项行业标准。其中，化工行业46项、石化行业8项、黑色冶金行业52项、有色金属行业38项、黄金行业1项、稀土行业5项、机械行业284项、汽车行业43项、轻工行业19项、纺织行业55项、电子行业65项、通信行业132项。批准《衣料用液体洗涤剂》等10项行业标准外文版。其中，轻工行业2项、通信行业8项。批准《甲硫醇气体检测报警器校准规范》等128项行业计量技术规范。其中石化行业12项、有色金属行业27项、建材行业15项、机械行业28项、轻工行业5项、纺织行业8项、兵工民品行业10项、电子行业18项、通信行业5项。
附件：1.
748项行业标准编号、名称、主要内容等一览表
2.
10项行业标准外文版名称及主要内容等一览表
3.
128项行业计量技术规范编号、名称、主要内容等一览表
4.
行业标准和行业计量技术规范出版情况
工业和信息化部
2025年12月17日
【返回顶部】
【关闭窗口】
【打印本页】",0
工业和信息化部办公厅关于做好第七批产业技术基础公共服务平台申报工作的通知,https://www.miit.gov.cn/jgsj/kjs/wjfb/art/2025/art_2a488489361f4cf9ac2250a3808b3a07.html,2025-12-12,工业和信息化部办公厅,"工业和信息化部办公厅关于做好第七批产业技术基础公共服务平台申报工作的通知
首页
>
工业和信息化部
>
机关司局
>
科技司
>
文件发布
发文机关：
工业和信息化部办公厅
标　　题：
工业和信息化部办公厅关于做好第七批产业技术基础公共服务平台申报工作的通知
发文字号：
工信厅科函〔2025〕527号
成文日期：
2025-12-12
发布日期：
2025-12-17
发布机构：
科技司
分　　类：
技术基础管理
工业和信息化部办公厅关于做好第七批产业技术基础公共服务平台申报工作的通知
发布时间：2025-12-17 18:34
来源：科技司
各省、自治区、直辖市及计划单列市、新疆生产建设兵团工业和信息化主管部门，有关中央企业：
为深入实施制造强国战略，健全产业基础支撑体系，推进科技创新和产业创新融合发展，根据《产业技术基础公共服务平台建设管理办法》（工信部科〔2025〕261号）要求，现组织开展第七批产业技术基础公共服务平台申报工作。有关事项通知如下：
一、申报要求
平台申报条件、服务行业领域及服务范围应符合《产业技术基础公共服务平台建设管理办法》要求，申报材料应真实、合法，不得涉及国家秘密。
二、申报程序
（一）组织申报。各地工业和信息化主管部门、央企集团按照自愿申报原则，组织符合要求的单位申报。
（二）审核推荐。各地工业和信息化主管部门、央企集团对申报单位的申报书进行初审、择优推荐。各省级工业和信息化主管部门推荐总数不超过8个，计划单列市推荐总数不超过5个，央企集团推荐总数不超过1个。请于2025年12月26日前将推荐函（含推荐汇总表）和申报书（含证明材料）纸质版一式2份和电子版光盘1份寄送至：北京市海淀区万寿路27号8号楼11层，100846，张翠，010-68207742，18612691313。
（三）遴选认定。工业和信息化部将委托专业机构开展初评和专家评审，视情抽取部分单位实地考察，对通过评审且公示无异议的，纳入平台名录并予以公布。
附件：1.
产业技术基础公共服务平台申报书
2.
产业技术基础公共服务平台推荐汇总表
工业和信息化部办公厅
2025年12月12日
（联系电话：010-68205242，010-68205243）
【返回顶部】
【关闭窗口】
【打印本页】",0
工业和信息化部办公厅关于印发《民爆行业落实〈国家智能制造标准体系建设指南〉实施方案》的通知,https://www.miit.gov.cn/jgsj/kjs/wjfb/art/2025/art_8e6f2ecddc7949d6af64d4dc53fcbe92.html,2025-12-01,工业和信息化部办公厅,"工业和信息化部办公厅关于印发《民爆行业落实〈国家智能制造标准体系建设指南〉实施方案》的通知
首页
>
工业和信息化部
>
机关司局
>
科技司
>
文件发布
发文机关：
工业和信息化部办公厅
标　　题：
工业和信息化部办公厅关于印发《民爆行业落实〈国家智能制造标准体系建设指南〉实施方案》的通知
发文字号：
工信厅科函〔2025〕506号
成文日期：
2025-12-01
发布日期：
2025-12-12
发布机构：
科技司
分　　类：
科技管理,标准
工业和信息化部办公厅关于印发《民爆行业落实〈国家智能制造标准体系建设指南〉实施方案》的通知
发布时间：2025-12-12 14:33
来源：科技司
各省、自治区、直辖市及新疆生产建设兵团民爆行业主管部门，有关行业协会、标准化技术组织、标准化专业机构：
为切实发挥标准对民用爆炸物品行业智能制造的引领作用，我部组织编制了《民爆行业落实〈国家智能制造标准体系建设指南〉实施方案》。现印发给你们，请结合本地区、本行业、本领域实际抓好落实。
工业和信息化部办公厅
2025年12月1日
【返回顶部】
【关闭窗口】
【打印本页】",6
