title,url,publication_date,issuing_department,ai_score,full_text
关于国家标准《网络安全技术 密码设备应用接口规范》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/09a6a6c13ef3420b9c056e1a5c69a13a,2025-12-12,全国信息安全标准化技术委员会,5,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 密码设备应用接口规范》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2026年02月10日前反馈给网安标委秘书处。
联系人：张博然   13051502670
zhangbr@cesi.cn
全国网络安全标准化技术委员会秘书处
2025年12月12日

--- 相关附件 ---
- 网络安全技术  密码设备应用接口规范-征求意见稿.docx: https://www.tc260.org.cn/sysFile/downloadFile/e3b219597e3d4a628fa24035699c3602
- 网络安全技术  密码设备应用接口规范-编制说明.docx: https://www.tc260.org.cn/sysFile/downloadFile/b1c051380c5a4c90887b4d1cadbf6e26
"
关于国家标准《数据安全技术 公共数据开放安全要求》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/0f18c08d21dc491b896b22667046ae58,2025-12-12,全国信息安全标准化技术委员会,17,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《数据安全技术 公共数据开放安全要求》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2026年02月10日前反馈给网安标委秘书处。
联系人：张博然   13051502670
zhangbr@cesi.cn
全国网络安全标准化技术委员会秘书处
2025年12月12日

--- 相关附件 ---
- 《数据安全技术 公共数据开放安全要求》征求意见稿 2025.12.11 提交版.docx: https://www.tc260.org.cn/sysFile/downloadFile/1d2a603a243f424e815f1a52e834c421
- 《数据安全技术  公共数据开放安全要求》编制说明-20251212.docx: https://www.tc260.org.cn/sysFile/downloadFile/a4070b5f75634fefa0b014a35a88d6e6
"
关于国家标准《网络安全技术 政务云平台安全监测方法》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/6586d59ff51041afa750e97a544cd8be,2025-12-12,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 政务云平台安全监测方法》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2026年02月10日前反馈给网安标委秘书处。
联系人：张博然   13051502670
zhangbr@cesi.cn
全国网络安全标准化技术委员会秘书处
2025年12月12日

--- 相关附件 ---
- 《网络安全技术 政务云平台安全监测方法(征求意见稿)》.pdf: https://www.tc260.org.cn/sysFile/downloadFile/56a130cbf15848c1aa3f810c72f087e4
- 《网络安全技术 政务云平台安全监测方法》编制说明.pdf: https://www.tc260.org.cn/sysFile/downloadFile/83dd1eec91f94660a14fb7f5b7e3f787
"
关于国家标准《网络安全技术 物联网感知终端应用安全技术要求》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/6f3aae89a23941bdbee766fc3e82056d,2025-12-12,全国信息安全标准化技术委员会,8,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 物联网感知终端应用安全技术要求》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2026年02月10日前反馈给网安标委秘书处。
联系人：张博然   13051502670
zhangbr@cesi.cn
全国网络安全标准化技术委员会秘书处
2025年12月12日

--- 相关附件 ---
- 《网络安全技术+物联网感知终端使用安全技术》-12月.docx: https://www.tc260.org.cn/sysFile/downloadFile/8b4503a5666441b1972d3060abab3b57
- 编制说明-物联网感知终端应用安全技术要求2025年12月.docx: https://www.tc260.org.cn/sysFile/downloadFile/37c13f9c354745f5a3715e598f4c59ff
"
关于国家标准《网络安全技术 区块链共识机制安全要求》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/eb3482ff081a4adb9ba5240a533913e7,2025-12-12,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 区块链共识机制安全要求》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2026年02月10日前反馈给网安标委秘书处。
联系人：张博然   13051502670
zhangbr@cesi.cn
全国网络安全标准化技术委员会秘书处
2025年12月12日

--- 相关附件 ---
- 网络安全技术 区块链共识机制安全要求-标准文本.docx: https://www.tc260.org.cn/sysFile/downloadFile/7de843320afc45398099ef3dd64f4521
- 网络安全技术 区块链共识机制安全要求 编制说明.docx: https://www.tc260.org.cn/sysFile/downloadFile/34f84ab15e3b4fe8a213578063df6e46
"
关于国家标准《网络安全技术 密码模块安全要求》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/fba1a787d73e441d9f8a617e375cdbb1,2025-12-12,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 密码模块安全要求》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2026年02月10日前反馈给网安标委秘书处。
联系人：张博然   13051502670
zhangbr@cesi.cn
全国网络安全标准化技术委员会秘书处
2025年12月12日

--- 相关附件 ---
- 《网络安全技术 密码模块安全要求》标准文本 征求意见稿.docx: https://www.tc260.org.cn/sysFile/downloadFile/ddff91c7f4c14061b229a11967d76112
- 网络安全技术 密码模块安全要求-编制说明.docx: https://www.tc260.org.cn/sysFile/downloadFile/c4890a56391744a38e4798e3a02cb7d9
"
关于国家标准《数据安全技术 数据安全保护要求》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20251031084754,2025-10-31,全国信息安全标准化技术委员会,17,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《数据安全技术 数据安全保护要求》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年12月30日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
10
月
31
日

--- 相关附件 ---
- 数据安全技术 数据安全保护要求-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20251031084754
- 数据安全技术 数据安全保护要求-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20251031084754
"
关于国家标准《网络安全技术 开放的第三方资源授权协议》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250827154251,2025-08-27,全国信息安全标准化技术委员会,5,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 开放的第三方资源授权协议》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年10月26日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
08
月
27
日

--- 相关附件 ---
- 网络安全技术 开放的第三方资源授权协议-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250827154251
- 网络安全技术 开放的第三方资源授权协议-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250827154251
"
关于国家标准《网络安全技术 鉴别与授权 基于属性的访问控制模型与管理规范》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250827154317,2025-08-27,全国信息安全标准化技术委员会,5,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《网络安全技术 鉴别与授权 基于属性的访问控制模型与管理规范》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年10月26日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
08
月
27
日

--- 相关附件 ---
- 网络安全技术 鉴别与授权 基于属性的访问控制模型与管理规范-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250827154317
- 网络安全技术 鉴别与授权 基于属性的访问控制模型与管理规范-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250827154317
"
关于国家标准《数据安全技术 个人信息匿名化处理指南及评价方法》征求意见稿征求意见的通知,https://www.tc260.org.cn/portal/suggestion-detail/20250827154341,2025-08-27,全国信息安全标准化技术委员会,9,"各相关单位和专家：
经标准编制单位的辛勤努力，现已形成国家标准《数据安全技术 个人信息匿名化处理指南及评价方法》征求意见稿。为确保标准质量，网安标委秘书处面向社会广泛征求意见。
恳切希望您对该标准提出宝贵意见。并将意见于2025年10月26日前反馈给网安标委秘书处。
联系人：王姣
13661025214
wangjiao@cesi.cn
全国网络安全标准化技术委员会秘书处
2025
年
08
月
27
日

--- 相关附件 ---
- 数据安全技术 个人信息匿名化处理指南及评价方法-标准文本: https://www.tc260.org.cn/sysFile/downloadFile/zqyj_20250827154341
- 数据安全技术 个人信息匿名化处理指南及评价方法-编制说明: https://www.tc260.org.cn/sysFile/downloadFile/bzsm_20250827154341
"
